,Postal Code,Borough,Neighbourhood,Latitude,Longitude
32,M1E,Scarborough, Morningside,43.7826012,-79.2049579
33,M1E,Scarborough, West Hill,43.7689144,-79.1872905
34,M4E,East Toronto,The Beaches,43.6710244,-79.296712
35,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858
36,M1G,Scarborough,Woburn,43.7598243,-79.2252908
37,M4G,East York,Leaside,43.70479829999999,-79.36809040000001
38,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
39,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802
40,M2H,North York,Hillcrest Village,43.6816953,-79.4257118
41,M3H,North York,Bathurst Manor,43.6655189,-79.4119373
42,M3H,North York, Wilson Heights,43.7405195,-79.4400172
43,M3H,North York, Downsview North,43.7492988,-79.462248
44,M4H,East York,Thorncliffe Park,43.704553000000004,-79.3454074
45,M5H,Downtown Toronto,Richmond,43.812589100000004,-79.2633703893962
46,M5H,Downtown Toronto, Adelaide,43.6502975,-79.38047735048377
47,M5H,Downtown Toronto, King,43.6489494,-79.3777538
48,M6H,West Toronto,Dufferin,43.6602019,-79.4357191
49,M6H,West Toronto, Dovercourt Village,43.6653069,-79.4326362
50,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
51,M2J,North York,Fairview,43.6534817,-79.38393470000001
52,M2J,North York, Henry Farm,43.7695089,-79.35429599999999
53,M2J,North York, Oriole,43.765498,-79.36426879999999
54,M3J,North York,Northwood Park,43.7541351,-79.50448
55,M3J,North York, York University,43.7792419,-79.4835593
56,M4J,East York,East Toronto,43.72178945,-79.37402706301704
57,M4J,East York, Broadview North (Old East York),43.6839242,-79.3569642
58,M5J,Downtown Toronto,Harbourfront East,43.640080100000006,-79.3801495
59,M5J,Downtown Toronto, Union Station,43.6446934,-79.38013200585965
60,M5J,Downtown Toronto, Toronto Islands,43.6230544,-79.39431563721034
61,M6J,West Toronto,Little Portugal,43.64741325,-79.43111632546047
62,M6J,West Toronto, Trinity,43.66530155,-79.39525214965947
63,M1K,Scarborough,Kennedy Park,43.724878000000004,-79.2539688
64,M1K,Scarborough, Ionview,43.7359904,-79.2765146
65,M1K,Scarborough, East Birchmount Park,43.7141672,-79.271109
66,M2K,North York,Bayview Village,43.7691966,-79.37666170000001
67,M3K,North York,Downsview,43.7492988,-79.462248
68,M4K,East Toronto,The Danforth West,43.6864333,-79.30035550000001
69,M4K,East Toronto, Riverdale,43.6654704,-79.35259359999999
70,M5K,Downtown Toronto,Toronto Dominion Centre,43.647376799999996,-79.3813719429129
71,M5K,Downtown Toronto, Design Exchange,43.6477412,-79.3801145
72,M6K,West Toronto,Brockton,43.650917299999996,-79.4400216
73,M6K,West Toronto, Parkdale Village,43.64029220000001,-79.43729899898156
74,M6K,West Toronto, Exhibition Place,43.6335375,-79.41771134645269
75,M1L,Scarborough,Golden Mile,43.727841399999996,-79.2876217
76,M1L,Scarborough, Clairlea,43.708823100000004,-79.2959856
77,M1L,Scarborough, Oakridge,43.697173799999995,-79.27482320000001
78,M2L,North York,York Mills,43.7440391,-79.406657
79,M2L,North York, Silver Hills,43.7612224,-79.3683818
80,M3L,North York,Downsview,43.7492988,-79.462248
81,M4L,East Toronto,India Bazaar,43.672223100000004,-79.3235032
82,M4L,East Toronto, The Beaches West,43.6710244,-79.296712
83,M5L,Downtown Toronto,Commerce Court,43.648163800000006,-79.37776594404383
84,M5L,Downtown Toronto, Victoria Hotel,43.66946915,-79.37326825
85,M6L,North York,North Park,43.7186899,-79.47753370000001
86,M6L,North York, Maple Leaf Park,43.715824100000006,-79.49341621107953
87,M6L,North York, Upwood Park,43.7086545,-79.50254644741823
88,M9L,North York,Humber Summit,43.7600778,-79.5717598
89,M1M,Scarborough,Cliffside,43.711169899999994,-79.2481769
90,M1M,Scarborough, Cliffcrest,43.72183629999999,-79.23621379999999
91,M1M,Scarborough, Scarborough Village West,43.7437422,-79.2116324
92,M2M,North York,Willowdale,43.761509499999995,-79.4109234
93,M2M,North York, Newtonbrook,43.7938863,-79.42567902301055
94,M3M,North York,Downsview,43.7492988,-79.462248
95,M4M,East Toronto,Studio District,43.64958515,-79.39068322559326
96,M5M,North York,Bedford Park,43.7373876,-79.4109253
97,M5M,North York, Lawrence Manor East,43.72207879999999,-79.4375067
98,M6M,York, Mount Dennis,43.6869597,-79.48955129999999
99,M9M,North York,Humberlea,43.7213166,-79.5331605
100,M9M,North York, Emery,43.7520744,-79.5423657
101,M1N,Scarborough,Birch Cliff,43.6918051,-79.2644935
102,M1N,Scarborough, Cliffside West,43.711169899999994,-79.2481769
103,M2N,North York,Willowdale,43.761509499999995,-79.4109234
104,M2N,North York, Willowdale East,43.761509499999995,-79.4109234
105,M3N,North York,Downsview,43.7492988,-79.462248
106,M4N,Central Toronto,Lawrence Park,43.729199,-79.40325250000001
107,M5N,Central Toronto,Roselawn,43.7001239,-79.450928
108,M6N,York,Runnymede,43.6517026,-79.4759978
109,M6N,York, The Junction North,43.6654775,-79.470352
110,M9N,York,Weston,43.70016079999999,-79.5162474
111,M1P,Scarborough,Dorset Park,43.7528467,-79.282067
112,M1P,Scarborough, Wexford Heights,43.7432421,-79.304641
113,M1P,Scarborough, Scarborough Town Centre,43.7761341,-79.25843763592167
114,M2P,North York,York Mills West,43.7440391,-79.406657
115,M4P,Central Toronto,Davisville North,43.697936,-79.3972908
116,M5P,Central Toronto,Forest Hill North & West,43.701028,-79.4255998
117,M5P,Central Toronto, Forest Hill Road Park,43.6904693,-79.404891
118,M6P,West Toronto,High Park,43.653866799999996,-79.4668644
119,M6P,West Toronto, The Junction South,43.6654775,-79.470352
120,M9P,Etobicoke,Westmount,43.6936399,-79.5210426
121,M1R,Scarborough,Wexford,43.74537670000001,-79.29471550000001
122,M1R,Scarborough, Maryvale,43.7590508,-79.31022970000001
123,M2R,North York,Willowdale,43.761509499999995,-79.4109234
124,M2R,North York, Willowdale West,43.761509499999995,-79.4109234
125,M4R,Central Toronto,North Toronto West,43.6465466,-79.41952629999999
126,M4R,Central Toronto, Lawrence Park,43.729199,-79.40325250000001
127,M5R,Central Toronto,The Annex,43.670337700000005,-79.407117
128,M5R,Central Toronto, Yorkville,43.67138610000001,-79.3901677
129,M6R,West Toronto,Parkdale,43.64029220000001,-79.43729899898156
130,M6R,West Toronto, Roncesvalles,43.6514426,-79.45103809999999
131,M9R,Etobicoke,Kingsview Village,43.6995391,-79.5563459
132,M9R,Etobicoke, St. Phillips,43.70004829999999,-79.5437651
133,M9R,Etobicoke, Martin Grove Gardens,43.687310499999995,-79.56196700000001
134,M9R,Etobicoke, Richview Gardens,43.6848335,-79.5482883
135,M1S,Scarborough,Agincourt,43.7853531,-79.2785494
136,M4S,Central Toronto,Davisville,43.697936,-79.3972908
137,M5S,Downtown Toronto,University of Toronto,43.663462,-79.39775965337452
138,M5S,Downtown Toronto, Harbord,43.6614671,-79.41437383483624
139,M6S,West Toronto,Runnymede,43.6517026,-79.4759978
140,M6S,West Toronto, Swansea,43.644940000000005,-79.478313
141,M1T,Scarborough,Clarks Corners,43.796409499999996,-79.29779509999999
142,M1T,Scarborough, Tam O'Shanter,43.7810454,-79.2980941
143,M1T,Scarborough, Sullivan,43.7726802,-79.3159449
144,M4T,Central Toronto,Moore Park,43.6903876,-79.3832965
145,M4T,Central Toronto, Summerhill East,43.6816776,-79.3905037
146,M5T,Downtown Toronto,Kensington Market,43.6552136,-79.4022604
147,M5T,Downtown Toronto, Chinatown,43.6529237,-79.3980316
148,M5T,Downtown Toronto, Grange Park,43.6521966,-79.39231921757992
149,M1V,Scarborough,Milliken,43.8231743,-79.30176259999999
150,M1V,Scarborough, Agincourt North,43.8080383,-79.2664391
151,M1V,Scarborough, Steeles East,43.8161778,-79.3145378
152,M1V,Scarborough, L'Amoreaux East,43.799003000000006,-79.30596690000002
153,M4V,Central Toronto,Summerhill West,43.6816776,-79.3905037
154,M4V,Central Toronto, Rathnelly,43.6774724,-79.4004598
155,M4V,Central Toronto, South Hill,43.6779261,-79.40576709999999
156,M4V,Central Toronto, Forest Hill SE,43.6935586,-79.41390229999999
157,M4V,Central Toronto, Deer Park,43.68809,-79.39409350000001
158,M5V,Downtown Toronto,CN Tower,43.642563700000004,-79.38708718320467
159,M5V,Downtown Toronto, King and Spadina,43.644071000000004,-79.40194759999999
160,M5V,Downtown Toronto, Harbourfront West,43.640080100000006,-79.3801495
161,M5V,Downtown Toronto, Bathurst Quay,43.635790500000006,-79.398329
162,M5V,Downtown Toronto, South Niagara,43.6440753,-79.4086982
163,M8V,Etobicoke,New Toronto,43.6007625,-79.505264
164,M8V,Etobicoke, Mimico South,43.6166773,-79.49680479999999
165,M9V,Etobicoke,South Steeles,43.8161778,-79.3145378
166,M9V,Etobicoke, Silverstone,43.7497509,-79.59911593109416
167,M9V,Etobicoke, Humbergate,43.61694355,-79.47761192403186
168,M9V,Etobicoke, Jamestown,43.6534817,-79.38393470000001
169,M9V,Etobicoke, Mount Olive,43.6534817,-79.38393470000001
170,M9V,Etobicoke, Thistletown,43.7372656,-79.56531690000001
171,M1W,Scarborough,Steeles West,43.8161778,-79.3145378
172,M1W,Scarborough, L'Amoreaux West,43.799003000000006,-79.30596690000002
173,M4W,Downtown Toronto,Rosedale,43.6783556,-79.3807457
174,M8W,Etobicoke,Alderwood,43.6017173,-79.5452325
175,M8W,Etobicoke, Long Branch,43.59200455,-79.54536450659593
176,M9W,Etobicoke,Northwest,43.6465466,-79.41952629999999
177,M9W,Etobicoke, West Humber - Clairville,43.72336735,-79.59748352665879
178,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374
179,M4X,Downtown Toronto,St. James Town,43.6694032,-79.37270409999999
180,M4X,Downtown Toronto, Cabbagetown,43.6644734,-79.36698609999999
181,M5X,Downtown Toronto,First Canadian Place,43.648768100000005,-79.38169179283025
182,M5X,Downtown Toronto, Underground city,43.7701454,-79.3748625
183,M8X,Etobicoke,The Kingsway,43.6473811,-79.51133279999999
184,M8X,Etobicoke, Montgomery Road,43.6490313,-79.5188556
185,M8X,Etobicoke, Old Mill North,43.649826000000004,-79.49433379999999
186,M4Y,Downtown Toronto,Church and Wellesley,43.6655242,-79.3838011
187,M8Y,Etobicoke,Old Mill South,43.649826000000004,-79.49433379999999
188,M8Y,Etobicoke, King's Mill Park,43.651089500000005,-79.4920291
189,M8Y,Etobicoke, Sunnylea,43.64159705,-79.50166540110841
190,M8Y,Etobicoke, Humber Bay,43.6400463,-79.495028
191,M8Y,Etobicoke, Mimico NE,43.6166773,-79.49680479999999
192,M8Y,Etobicoke, The Queensway East,43.6093093,-79.56773170000001
193,M8Y,Etobicoke, Royal York South East,43.64818270000001,-79.5112961
194,M8Z,Etobicoke,Mimico NW,43.6166773,-79.49680479999999
195,M8Z,Etobicoke, The Queensway West,43.6236182,-79.5147637
196,M8Z,Etobicoke, South of Bloor,43.6704886,-79.3864652
197,M8Z,Etobicoke, Royal York South West,43.64818270000001,-79.5112961
